题目,朝代,作者,内容,来源,词牌
"酒泉子·日映纱窗","五代","温庭筠","日映纱窗，金鸭小屏山碧。故乡春，烟霭隔，背兰釭。宿妆惆怅倚高阁，千里云影薄。草初齐，花又落，燕双双。","chinese-poetry","酒泉子"
"酒泉子·楚女不归","五代","温庭筠","楚女不归，楼枕小河春水。月孤明，风又起，杏花稀。玉钗斜簪云鬟髻，裙上金缕凤。八行书，千里梦，雁南归。","chinese-poetry","酒泉子"
"酒泉子·罗带惹香","五代","温庭筠","罗带惹香，犹系别时红豆。泪痕新，金缕旧，断离肠。一双娇燕语雕梁，还是去年时节。绿阴浓，芳草歇，柳花狂。","chinese-poetry","酒泉子"
"定西番·汉使昔年离别","五代","温庭筠","汉使昔年离别。攀弱柳，折寒梅，上高台。千里玉关春雪，雁来人不来。羌笛一声愁绝，月徘徊。","chinese-poetry","定西番"
"定西番·海燕欲飞调羽","五代","温庭筠","海燕欲飞调羽。萱草绿，杏花红，隔帘栊。双鬓翠霞金缕，一枝春艳浓。楼上月明三五，琐窗中。","chinese-poetry","定西番"
"定西番·细雨晓莺春晚","五代","温庭筠","细雨晓莺春晚。人似玉，柳如眉，正相思。罗幕翠帘初卷，镜中花一枝。肠断塞门消息，雁来稀。","chinese-poetry","定西番"
"杨柳枝·宜春苑外最长条","五代","温庭筠","宜春苑外最长条，闲袅春风伴舞腰。正是玉人肠绝处，一渠春水赤栏桥。","chinese-poetry","杨柳枝"
"杨柳枝·南内墙东御路傍","五代","温庭筠","南内墙东御路傍，须知春色柳丝黄。杏花未肯无情思，何事行人最断肠。","chinese-poetry","杨柳枝"
"杨柳枝·苏小门前柳万条","五代","温庭筠","苏小门前柳万条，毵毵金线拂平桥。黄莺不语东风起，深闭朱门伴舞腰。","chinese-poetry","杨柳枝"
"杨柳枝·金缕毵毵碧瓦沟","五代","温庭筠","金缕毵毵碧瓦沟，六宫眉黛惹香愁。晚来更带龙池雨，半拂栏干半入楼。","chinese-poetry","杨柳枝"
"杨柳枝·馆娃宫外邺城西","五代","温庭筠","馆娃宫外邺城西，远映征帆近拂提。系得王孙归意切，不关芳草绿萋萋。","chinese-poetry","杨柳枝"
"杨柳枝·两两黄鹂色似金","五代","温庭筠","两两黄鹂色似金，袅枝啼露动芳音。春来幸自长如线，可惜牵缠荡子心。","chinese-poetry","杨柳枝"
"杨柳枝·御柳如丝映九重","五代","温庭筠","御柳如丝映九重，凤凰窗映绣芙蓉。景阳楼畔千条路，一面新妆等晓风。","chinese-poetry","杨柳枝"
"杨柳枝·织锦机边莺语频","五代","温庭筠","织锦机边莺语频，停梭垂泪忆征人。塞门三月犹萧索，纵有垂杨未觉春。","chinese-poetry","杨柳枝"
"南歌子·手里金鹦鹉","五代","温庭筠","手里金鹦鹉，胸前绣凤凰。偷眼暗形相，不如从嫁与，作鸳鸯。","chinese-poetry","南歌子"
"南歌子·似带如丝柳","五代","温庭筠","似带如丝柳，团酥握雪花。帘卷玉钩斜，九衢尘欲暮，逐香车。","chinese-poetry","南歌子"
"南歌子·鬓堕低梳髻","五代","温庭筠","鬓堕低梳髻，连娟细扫眉。终日两相思，为君憔悴尽，百花时。","chinese-poetry","南歌子"
"南歌子·脸上金霞细","五代","温庭筠","脸上金霞细，眉间翠钿深。倚枕覆鸳衾，隔帘莺百啭，感君心。","chinese-poetry","南歌子"
"南歌子·扑蕊添黄子","五代","温庭筠","扑蕊添黄子，呵花满翠鬟。鸳枕映屏山，明月三五夜，对芳颜。","chinese-poetry","南歌子"
"南歌子·转盼如波眼","五代","温庭筠","转盼如波眼，娉婷似柳腰。花里暗相招，忆君肠欲断，恨春宵。","chinese-poetry","南歌子"
"南歌子·懒拂鸳鸯枕","五代","温庭筠","懒拂鸳鸯枕，休缝翡翠裙。罗帐罢炉熏，近来心更切，为思君。","chinese-poetry","南歌子"
"河渎神·河上望丛柯","五代","温庭筠","河上望丛柯，庙前春雨来时。楚山无限鸟飞迟，兰棹空伤别离。何处杜鹃啼不歇，艳红开尽如血。蝉鬓美人愁绝，百花芳草佳节。","chinese-poetry","河渎神"
"河渎神·孤庙对寒潮","五代","温庭筠","孤庙对寒潮，西陵风雨萧萧。谢娘惆怅倚兰桡，泪流玉箸千条。暮天愁听思归乐，早梅香满山郭。回首两情萧索，离魂何处飘泊。","chinese-poetry","河渎神"
"河渎神·铜鼓赛神来","五代","温庭筠","铜鼓赛神来，满庭幡盖徘徊。水村江浦过风雷，楚山如画烟开。离别橹声空萧索，玉容惆怅妆薄。青麦燕飞落落，卷帘愁对珠阁。","chinese-poetry","河渎神"
"女冠子·含娇含笑","五代","温庭筠","含娇含笑，宿翠残红窈窕。鬓如蝉，寒玉簪秋水，轻纱卷碧烟。雪胸鸾镜里，琪树凤楼前。寄语青娥伴，早求仙。","chinese-poetry","女冠子"
"女冠子·霞帔云发","五代","温庭筠","霞帔云发，钿镜仙容似雪。画愁眉，遮语回轻扇，含羞下绣帷。玉楼相望久，花洞恨来迟。早晚乘鸾去，莫相遗。","chinese-poetry","女冠子"
"玉蝴蝶·霞帔云发","五代","温庭筠","秋风凄切伤离，行客未归时。塞外草先衰江，南雁到迟。芙蓉凋嫩脸，杨柳堕新眉。摇落使人悲，断肠谁得知。","chinese-poetry","玉蝴蝶"
"清平乐·上阳春晚","五代","温庭筠","上阳春晚，宫女愁蛾浅。新岁清平思同辇，争那长安路远。凤帐鸳被徒熏，寂寞花锁千门。竞把黄金买赋，为妾将上明君。","chinese-poetry","清平乐"
"清平乐·洛阳愁绝","五代","温庭筠","洛阳愁绝，杨柳花飘雪。终日行人恣攀折，桥下流水呜咽。上马争劝离觞，南浦莺声断肠。愁杀平原年少，回首挥泪千行。","chinese-poetry","清平乐"
"遐方怨·凭绣槛","五代","温庭筠","凭绣槛，解罗帷。未得君书，肠断，潇湘春雁飞。不知征马几时归，海棠花谢也，雨霏霏。","chinese-poetry","遐方怨"
"遐方怨·花半坼","五代","温庭筠","花半坼，雨初晴。未卷珠帘，梦残，惆怅闻晓莺。宿妆眉浅粉山横，约鬟鸾镜里，绣罗轻。","chinese-poetry","遐方怨"
"诉衷情·莺语花舞春昼午","五代","温庭筠","莺语花舞春昼午，雨霏微。金带枕，宫锦，凤凰帷。柳弱蝶交飞，依依。辽阳音信稀，梦中归。","chinese-poetry","诉衷情"
"思帝乡·花花","五代","温庭筠","花花，满枝红似霞。罗袖画帘肠断，卓香车。回面共人闲语，战篦金凤斜。惟有阮郎春尽，不归家。","chinese-poetry","思帝乡"
"梦江南·千万恨","五代","温庭筠","千万恨，恨极在天涯。山月不知心里事，水风空落眼前花，摇曳碧云斜。","chinese-poetry","梦江南"
"梦江南·梳洗罢","五代","温庭筠","梳洗罢，独倚望江楼。过尽千帆皆不是，斜晖脉脉水悠悠，肠断白苹洲。","chinese-poetry","梦江南"
"河传·江畔","五代","温庭筠","江畔，相唤。晓妆鲜，仙景个女采莲。请君莫向那岸边，少年，好花新满船。红袖摇曳逐风暖，垂玉腕，肠向柳丝断。浦南归，浦北归，莫知，晚来人已稀。","chinese-poetry","河传"
"河传·湖上","五代","温庭筠","湖上，闲望。雨萧萧，烟浦花桥路遥。谢娘翠蛾愁不消，终朝，梦魂迷晚潮。荡子天涯归棹远，春已晚，莺语空肠断。若耶溪，溪水西，柳堤，不闻郎马嘶。","chinese-poetry","河传"
"河传·同伴","五代","温庭筠","同伴，相唤。杏花稀，梦里每愁依违。仙客一去燕已飞，不归，泪痕空满衣。天际云鸟引晴远，春已晚，烟霭渡南苑。雪梅香，柳带长，小娘，转令人意伤。","chinese-poetry","河传"
"番女怨·万枝香雪开已遍","五代","温庭筠","万枝香雪开已遍，细雨双燕。钿蝉筝，金雀扇，画梁相见。雁门消息不归来，又飞回。","chinese-poetry","番女怨"
"番女怨·碛南沙上惊雁起","五代","温庭筠","碛南沙上惊雁起，飞雪千里。玉连环，金镞箭，年年征战。画楼离恨锦屏空，杏花红。","chinese-poetry","番女怨"
"荷叶杯·一点露珠凝冷","五代","温庭筠","一点露珠凝冷，波影。满池塘。绿茎红艳两相乱，肠断。水风凉。","chinese-poetry","荷叶杯"
"荷叶杯·镜水夜来秋月","五代","温庭筠","镜水夜来秋月，如雪。采莲时。小娘红粉对寒浪，惆怅。正思惟。","chinese-poetry","荷叶杯"
"荷叶杯·楚女欲归南浦","五代","温庭筠","楚女欲归南浦，朝雨。湿愁红。小船摇漾入花里，波起。隔西风。","chinese-poetry","荷叶杯"
"天仙子·晴野鹭鸶飞一只","五代","皇甫松","晴野鹭鸶飞一只，水荭花发秋江碧。刘郎此日别天仙，登绮席，泪珠滴，十二晚峰高历历。","chinese-poetry","天仙子"
"天仙子·踯躅花开红照水","五代","皇甫松","踯躅花开红照水，鹧鸪飞绕青山觜。行人经岁始归来，千万里，错相倚，懊恼天仙应有以。","chinese-poetry","天仙子"
"浪淘沙·滩头细草接疏林","五代","皇甫松","滩头细草接疏林，浪恶罾船半欲沉。宿鹭眠鸥飞旧浦，去年沙嘴是江心。","chinese-poetry","浪淘沙"
"浪淘沙·蛮歌豆蔻北人愁","五代","皇甫松","蛮歌豆蔻北人愁，蒲雨杉风野艇秋。浪起䴔䴖眠不得，寒沙细细入江流。","chinese-poetry","浪淘沙"
"杨柳枝·春入行宫映翠微","五代","皇甫松","春入行宫映翠微，玄宗侍女舞烟丝。如今柳向空城绿，玉笛何人更把吹。","chinese-poetry","杨柳枝"
"杨柳枝·烂漫春归水国时","五代","皇甫松","烂漫春归水国时，吴王宫殿柳丝垂。黄莺长叫空闺畔，西子无因更得知。","chinese-poetry","杨柳枝"
"摘得新·酌一卮","五代","皇甫松","酌一卮，须教玉笛吹。锦筵红蜡烛，莫来迟。繁红一夜经风雨，是空枝。","chinese-poetry","摘得新"
"摘得新·摘得新","五代","皇甫松","摘得新，枝枝叶叶春。管弦兼美酒，最关人。平生都得几十度，展香茵。","chinese-poetry","摘得新"
"梦江南·兰烬落","五代","皇甫松","兰烬落，屏上暗红蕉。闲梦江南梅熟日，夜船吹笛雨萧萧，人语驿边桥。","chinese-poetry","梦江南"
"梦江南·楼上寝","五代","皇甫松","楼上寝，残月下帘旌。梦见秣陵惆怅事，桃花柳絮满江城，双髻坐吹笙。","chinese-poetry","梦江南"
"采莲子·菡萏香莲十顷陂","五代","皇甫松","菡萏香莲十顷陂（举棹），小姑贪戏采莲迟（年少）。晚来弄水船头湿（举棹），更脱红裙裹鸭儿（年少）。","chinese-poetry","采莲子"
"采莲子·船动湖光滟滟秋","五代","皇甫松","船动湖光滟滟秋（举棹），贪看年少信船流（年少）。无端隔水抛莲子（举棹），遥被人知半日羞（年少）。","chinese-poetry","采莲子"
"浣溪沙·清晓妆成寒食天","五代","韦庄","清晓妆成寒食天，柳球斜袅间花钿，卷帘直出画堂前。指点牡丹初绽朵，日高犹自凭朱栏，含颦不语恨春残。","chinese-poetry","浣溪沙"
"浣溪沙·欲上秋千四体慵","五代","韦庄","欲上秋千四体慵，拟教人送又心忪。画堂帘幕月明风。此夜有情谁不极，隔墙梨雪又玲珑，玉容憔悴惹微红。","chinese-poetry","浣溪沙"
"浣溪沙·惆怅梦余山月斜","五代","韦庄","惆怅梦余山月斜，孤灯照壁背窗纱，小楼高阁谢娘家。暗想玉容何所似，一枝春雪冻梅花，满身香雾簇朝霞。","chinese-poetry","浣溪沙"
"浣溪沙·绿树藏莺莺玉啼","五代","韦庄","绿树藏莺莺玉啼，柳丝斜拂白铜堤，弄珠江上草萋萋。日暮饮归何处客，绣鞍骢马一声嘶，满身兰麝醉如泥。","chinese-poetry","浣溪沙"
"浣溪沙·夜夜相思更漏残","五代","韦庄","夜夜相思更漏残，伤心明月凭栏干，想君思我锦衾寒。咫尺画堂深似海，忆来唯把旧书看，几时携手入长安。","chinese-poetry","浣溪沙"
"菩萨蛮·红楼别夜堪惆怅","五代","韦庄","红楼别夜堪惆怅，香灯半卷流苏帐。残月出门时，美人和泪辞。琵琶金翠羽，弦上黄莺语。劝我早归家，绿窗人似花。","chinese-poetry","菩萨蛮"
"菩萨蛮·人人尽说江南好","五代","韦庄","人人尽说江南好，游人只合江南老。春水碧于天，画船听雨眠。垆边人似月，皓腕凝双雪。未老莫还乡，还乡须断肠。","chinese-poetry","菩萨蛮"
"菩萨蛮·如今却忆江南乐","五代","韦庄","如今却忆江南乐，当时年少春衫薄。骑马倚斜桥，满楼红袖招。翠屏金屈曲，醉入花丛宿。此度见花枝，白头誓不归。","chinese-poetry","菩萨蛮"
"菩萨蛮·劝君今夜须沉醉","五代","韦庄","劝君今夜须沉醉，樽前莫话明朝事。珍重主人心，酒深情亦深。须愁春漏短，莫诉金杯满。遇酒且呵呵，人生能几何。","chinese-poetry","菩萨蛮"
"菩萨蛮·洛阳城里春光好","五代","韦庄","洛阳城里春光好，洛阳才子他乡老。柳暗魏王堤，此时心转迷。桃花春水绿，水上鸳鸯浴。凝恨对残晖，忆君君不知。","chinese-poetry","菩萨蛮"
"归国遥·春欲暮","五代","韦庄","春欲暮，满地落花红带雨。惆怅玉笼鹦鹉，单栖无伴侣。南望去程何许，问花花不语。早晚得同归去，恨无双翠羽。","chinese-poetry","归国遥"
"归国遥·金翡翠","五代","韦庄","金翡翠，为我南飞传我意。罨画桥边春水，几年花下醉。别后只知相愧，泪珠难远寄。罗幕绣帷鸳被，旧欢如梦里。","chinese-poetry","归国遥"
"归国遥·春欲晚","五代","韦庄","春欲晚，戏蝶游蜂花烂漫。日落谢家池馆，柳丝金缕断。睡觉绿鬟风乱，画屏云雨散。闲倚博山长叹，泪流沾皓腕。","chinese-poetry","归国遥"
"应天长·绿槐阴里黄莺语","五代","韦庄","绿槐阴里黄莺语，深院无人春昼午。画帘垂，金凤舞，寂寞绣屏香一炷。碧天云，无定处，空有梦魂来去。夜夜绿窗风雨，断肠君信否。","chinese-poetry","应天长"
"应天长·别来半岁音书绝","五代","韦庄","别来半岁音书绝，一寸离肠千万结。难相见，易相别，又是玉楼花似雪。暗相思，无处说，惆怅夜来烟月。想得此时情切，泪沾红袖黦。","chinese-poetry","应天长"
"荷叶杯·绝代佳人难得","五代","韦庄","绝代佳人难得，倾国，花下见无期。一双愁黛远山眉，不忍更思惟。闲掩翠屏金凤，残梦，罗幕画堂空。碧天无路信难通，惆怅旧房栊。","chinese-poetry","荷叶杯"
"荷叶杯·记得那年花下","五代","韦庄","记得那年花下，深夜，初识谢娘时。水堂西面画帘垂，携手暗相期。惆怅晓莺残月，相别，从此隔音尘。如今俱是异乡人，相见更无因。","chinese-poetry","荷叶杯"
"清平乐·春愁南陌","五代","韦庄","春愁南陌，故国音书隔。细雨霏霏梨花白，燕拂画帘金额。尽日相望王孙，尘满衣上泪痕。谁向桥边吹笛，驻马西望销魂。","chinese-poetry","清平乐"
"清平乐·野花芳草","五代","韦庄","野花芳草，寂寞关山道。柳吐金丝莺语早，惆怅香闺暗老。罗带悔结同心，独凭朱栏思深。梦觉半床斜月，小窗风触鸣琴。","chinese-poetry","清平乐"
"清平乐·何处游女","五代","韦庄","何处游女，蜀国多云雨。云解有情花解语，窣地绣罗金缕。妆成不整金钿，含羞待月秋千。住在绿槐阴里，门临春水桥边。","chinese-poetry","清平乐"
"清平乐·莺啼残月","五代","韦庄","莺啼残月，绣阁香灯灭。门外马嘶郎欲别，正是落花时节。妆成不画蛾眉，含愁独倚金扉。云路香尘莫扫，扫即郎去归迟。","chinese-poetry","清平乐"
"望远行·欲别无言倚画屏","五代","韦庄","欲别无言倚画屏，含恨暗伤情。谢家庭树锦鸡鸣，残月落边城。人欲别，马频嘶，绿槐千里长堤。出门芳草路萋萋，云雨别来易东西。不忍别君后，却入旧香闺。","chinese-poetry","望远行"
"谒金门·春漏促","五代","韦庄","春漏促，金烬暗挑残烛。一夜帘前风撼竹，梦魂相断续。有个娇娆如玉，夜夜绣屏孤宿。宋袍琵琶寻旧曲，远山眉黛绿。","chinese-poetry","谒金门"
"谒金门·空相忆","五代","韦庄","空相忆，无计得传消息。天上嫦娥人不识，寄书何处觅。新睡觉来无力，不忍把伊书迹。满院落花春寂寂，断肠芳草碧。","chinese-poetry","谒金门"
"江城子·恩重娇多情易伤","五代","韦庄","恩重娇多情易伤，漏更长，解鸳鸯。朱唇未动，先觉口脂香。缓揭绣衾抽皓腕，移凤枕，枕潘郎。","chinese-poetry","江城子"
"江城子·髻鬟狼藉黛眉长","五代","韦庄","髻鬟狼藉黛眉长，出兰房，别檀郎。角声呜咽，星斗渐微茫。露冷月残人未起，留不住，泪千行。","chinese-poetry","江城子"
"河传·何处","五代","韦庄","何处，烟雨，隋堤春暮。柳色葱笼，画桡金缕，翠旗高飐香风，水光融。青娥殿脚春妆媚，轻云里，绰约司花妓。江都宫阙，清淮月映迷楼，古今愁。","chinese-poetry","河传"
"河传·春晚","五代","韦庄","春晚，风暖，锦城花满。狂杀游人，玉鞭金勒，寻胜驰骤轻尘，惜良晨。翠娥争劝临邛酒，纤纤手，拂面垂丝柳。归时烟里，钟鼓正是黄昏，暗销魂。","chinese-poetry","河传"
"河传·锦浦","五代","韦庄","锦浦，春女，绣衣金缕。雾薄云轻，花深柳暗，时节正是清明，雨初晴。玉鞭魂断烟霞路，莺莺语，一望巫山雨。香尘隐映，遥见翠槛红楼，黛眉愁。","chinese-poetry","河传"
"天仙子·怅望前回梦里期","五代","韦庄","怅望前回梦里期，看花不语苦寻思。露桃花里小腰肢，眉眼细，鬓云垂，唯有多情宋玉知。","chinese-poetry","天仙子"
"天仙子·深夜归来长酩酊","五代","韦庄","深夜归来长酩酊，扶入流苏犹未醒。醺醺酒气麝兰和，惊睡觉，笑呵呵，长道人生能几何。","chinese-poetry","天仙子"
"天仙子·蟾彩霜华夜不分","五代","韦庄","蟾彩霜华夜不分，天外鸿声枕上闻，绣衾香冷懒重熏。人寂寂，叶纷纷，才睡依前梦见君。","chinese-poetry","天仙子"
"天仙子·梦觉云屏依旧空","五代","韦庄","梦觉云屏依旧空，杜鹃声咽隔帘栊，玉郎薄幸去无踪。一日日，恨重重，泪界莲腮两线红。","chinese-poetry","天仙子"
"天仙子·金似衣裳玉似身","五代","韦庄","金似衣裳玉似身，眼如秋水鬓如云，霞裙月帔一群群。来洞口，望烟分，刘阮不归春日曛。","chinese-poetry","天仙子"
"喜迁莺·人汹汹","五代","韦庄","人汹汹，鼓冬冬，襟袖五更风。大罗天上月朦胧，骑马上虚空。香满衣，云满路，鸾凤绕身飞舞。霓旌绛节一群群，引见玉华君。","chinese-poetry","喜迁莺"
"喜迁莺·街鼓动","五代","韦庄","街鼓动，禁城开，天上探人回，凤衔金榜出云来，平地一声雷。莺已迁，龙已化，一夜满城车马。家家楼上簇神仙，争看鹤冲天。","chinese-poetry","喜迁莺"
"思帝乡·云髻坠","五代","韦庄","云髻坠，凤钗垂。髻坠钗垂无力，枕函欹。翡翠屏深月落，漏依依。说尽人间天上，两心知。","chinese-poetry","思帝乡"
"思帝乡·春日游","五代","韦庄","春日游，杏花吹满头。陌上谁家年少，足风流。妾拟将身嫁与，一生休。纵被无情弃，不能羞！","chinese-poetry","思帝乡"
"诉衷情·烛尽香残帘半卷","五代","韦庄","烛尽香残帘半卷，梦初惊。花欲谢，深夜，月胧明。何处按歌声，轻轻。舞衣尘暗生，负春情。","chinese-poetry","诉衷情"
"诉衷情·碧沼红芳烟雨静","五代","韦庄","碧沼红芳烟雨静，倚兰桡。垂玉珮，交带，袅纤腰。鸳梦隔星桥，迢迢。越罗香暗销，坠花翘。","chinese-poetry","诉衷情"
"上行杯·芳草灞陵春岸","五代","韦庄","芳草灞陵春岸，柳烟深，满楼弦管，一曲离声肠寸断。今日送君千万，红楼玉盘金镂盏，须劝珍重意，莫辞满。","chinese-poetry","上行杯"
"上行杯·白马玉鞭金辔","五代","韦庄","白马玉鞭金辔，少年郎，离别容易，迢递去程千万里。惆怅异乡云水，满酌一杯劝和泪，须愧珍重意，莫辞醉。","chinese-poetry","上行杯"
"女冠子·四月十七","五代","韦庄","四月十七，正是去年今日。别君时，忍泪佯低面，含羞半敛眉。不知魂已断，空有梦相随。除却天边月，没人知。","chinese-poetry","女冠子"
"女冠子·昨夜夜半","五代","韦庄","昨夜夜半，枕上分明梦见：语多时，依旧桃花面，频低柳叶眉。半羞还半喜，欲去又依依。觉来知是梦，不胜悲。","chinese-poetry","女冠子"
"更漏子·钟鼓寒","五代","韦庄","钟鼓寒，楼阁暝，月照古桐金井。深院闭，小庭空，落花香露红。烟柳重，春雾薄，灯背水窗高阁。闲倚户，暗沾衣，待郎郎不归。","chinese-poetry","更漏子"
"酒泉子·月落星沉","五代","韦庄","月落星沉，楼上美人春睡。绿云倾，金枕腻，画屏深。子规啼破相思梦，曙色东方才动。柳烟轻，花露重，思难任。","chinese-poetry","酒泉子"
"木兰花·独上小楼春欲暮","五代","韦庄","独上小楼春欲暮，愁望玉关芳草路。消息断，不逢人，欲敛细眉归绣户。坐看落花空叹息，罗袂湿斑红泪滴。千山万水不曾行，魂梦欲教何处觅。","chinese-poetry","木兰花"
"小重山·一闭昭阳春又春","五代","韦庄","一闭昭阳春又春，夜寒宫漏永，梦君恩。昏思陈事暗消魂，罗衣湿，红袂有啼痕。歌吹隔重阍，绕庭芳草绿，倚长门。万般惆怅向谁论？凝情立，宫殿欲黄昏。","chinese-poetry","小重山"
"浣溪沙·红蓼渡头秋正雨","五代","薛昭蕴","红蓼渡头秋正雨，印沙鸥迹自成行，整鬟飘袖野风香。不语含颦深浦里，几回愁煞棹船郎，燕归帆尽水茫茫。","chinese-poetry","浣溪沙"
"浣溪沙·钿匣菱花锦带垂","五代","薛昭蕴","钿匣菱花锦带垂，静临栏槛卸头时，约鬟低珥算归期。茂苑草青湘渚阔，梦余空有漏依依，二年终日损芳菲。","chinese-poetry","浣溪沙"
"浣溪沙·粉上依稀有泪痕","五代","薛昭蕴","粉上依稀有泪痕，郡庭花落欲黄昏，远情深恨与谁论。记得去年寒食日，延秋门外卓金轮，日斜人散暗消魂。","chinese-poetry","浣溪沙"
"浣溪沙·握手河桥柳似金","五代","薛昭蕴","握手河桥柳似金，蜂须轻惹百花心，蕙风兰思寄清琴。意满便同春水满，情深还似酒杯深，楚烟湘月两沉沉。","chinese-poetry","浣溪沙"
"浣溪沙·帘下三间出寺墙","五代","薛昭蕴","帘下三间出寺墙，满街垂杨绿阴长，嫩红轻翠间浓妆。瞥地见时犹可可，却来闲处暗思量，如今情事隔仙乡。","chinese-poetry","浣溪沙"
"浣溪沙·江馆清秋缆客船","五代","薛昭蕴","江馆清秋缆客船，故人相送夜开筵，麝烟兰焰簇花钿。正是断魂迷楚雨，不堪离恨咽湘弦，月高霜白水连天。","chinese-poetry","浣溪沙"
"浣溪沙·倾国倾城恨有余","五代","薛昭蕴","倾国倾城恨有余，几多红泪泣姑苏，倚风凝睇雪肌肤。吴主山河空落日，越王宫殿半平芜，藕花菱蔓满重湖。","chinese-poetry","浣溪沙"
"浣溪沙·越女淘金春水上","五代","薛昭蕴","越女淘金春水上，步摇云鬓珮鸣珰，渚风江草又清香。不为远山凝翠黛，只应含恨向斜阳，碧桃花谢忆刘郎。","chinese-poetry","浣溪沙"
